x,y
16.0,0.00012432093984147857
32.0,0.0027301373746700473
48.0,0.0055945567836147205
64.0,0.006325994399467913
80.0,0.006038196802446768
96.0,0.005436049152749842
112.0,0.004785776878526114
128.0,0.004175504494130404
144.0,0.0036294280586599264
160.0,0.003149751324500213
176.0,0.0027315938747010525
192.0,0.0023682398726112917
208.0,0.0020529468606730276
224.0,0.001779524997499842
240.0,0.0015424779778005666
256.0,0.001336991526805463
272.0,0.0011588733572151858
288.0,0.0010044821564823038
304.0,0.0008706587766574669
320.0,0.0007546637901377834
336.0,0.0006541222753305058
352.0,0.0005669755321056713
368.0,0.0004914390623935131
384.0,0.00042596608267010054
400.0,0.00036921587131063095
416.0,0.0003200263224933441
432.0,0.0002773901525068204
448.0,0.000240434274360714
464.0,0.00020840191959281494
480.0,0.00018063714166968492
496.0,0.00015657138384740445
512.0,0.00013571183651423668
528.0,0.00011763134563333337
544.0,0.00010195966564721575
560.0,8.837587772943703e-05
576.0,7.660181812928267e-05
592.0,6.639638203843202e-05
608.0,5.7550586336618665e-05
624.0,4.9883290113168e-05
640.0,4.3237485330899594e-05
656.0,3.747708167401267e-05
672.0,3.2484119741275464e-05
688.0,2.8156355517329934e-05
704.0,2.4405166657815804e-05
720.0,2.115373771400101e-05
736.0,1.833548713462449e-05
752.0,1.5892703833680712e-05
768.0,1.377536540428885e-05
784.0,1.1940113778470255e-05
800.0,1.034936735677649e-05
816.0,8.970551426289127e-06
832.0,7.775431107777592e-06
848.0,6.739533172355386e-06
864.0,5.8416448878113915e-06
880.0,5.06337963217811e-06
896.0,4.388800379333138e-06
912.0,3.8040933465123104e-06
928.0,3.2972851208097233e-06
944.0,2.857997472086484e-06
960.0,2.477234831438191e-06
976.0,2.147200083284365e-06
992.0,1.8611348989387965e-06
1008.0,1.6131813420711346e-06
1024.0,1.3982619120678824e-06
1040.0,1.2119755688654113e-06
1056.0,1.0505076100902376e-06
1072.0,9.105515550042022e-07
1088.0,7.892414356230617e-07
1104.0,6.840931084912338e-07
1120.0,5.929533853170704e-07
1136.0,5.139559407847472e-07
1152.0,4.4548309463936185e-07
1168.0,3.861326854330084e-07
1184.0,3.3468935758473245e-07
1200.0,2.900996737814757e-07
1216.0,2.5145054308101987e-07
1232.0,2.179505229756559e-07
1248.0,1.8891361252720047e-07
1264.0,1.6374520469521183e-07
1280.0,1.419299101954141e-07
1296.0,1.2302100354983623e-07
1312.0,1.0663127520880949e-07
1328.0,9.242510241798467e-08
1344.0,8.011157646053558e-08
1360.0,6.943854553677413e-08
1376.0,6.018745129348337e-08
1392.0,5.216885326733936e-08
1408.0,4.521854959364024e-08
1424.0,3.9194214541660466e-08
1440.0,3.3972484021331026e-08
1456.0,2.9446429379337107e-08
1472.0,2.552336775396959e-08
1488.0,2.2122964149992966e-08
1504.0,1.9175586368525172e-08
1520.0,1.6620879104795967e-08
1536.0,1.4406528014688831e-08
1552.0,1.2487188441081073e-08
1568.0,1.0823556862839079e-08
