x,y
16.0,5.402917404124444e-06
32.0,0.0003273126640356562
48.0,0.0009549555153162679
64.0,0.0013397906574255485
80.0,0.0015097194621056672
96.0,0.0015662117544972816
112.0,0.0015681757771327763
128.0,0.0015448873977031328
144.0,0.0015104220613158669
160.0,0.0014714676140795346
176.0,0.0014311655359120737
192.0,0.0013909630492815821
208.0,0.0013515024301739727
224.0,0.0013130472202868928
240.0,0.0012756858387633922
256.0,0.0012394282369077398
272.0,0.001204251254275122
288.0,0.0011701194762396476
304.0,0.0011369944865497132
320.0,0.0011048387004372598
336.0,0.00107361672878688
352.0,0.0010432956664116408
368.0,0.0010138449506601793
384.0,0.0009852360810950651
400.0,0.0009574423239082623
416.0,0.0009304384478999861
432.0,0.0009042005048276419
448.0,0.0008787056529172975
464.0,0.0008539320174165988
480.0,0.0008298585811016216
496.0,0.0008064650982414403
512.0,0.0007837320266009937
528.0,0.0007616404731723733
544.0,0.0007401721502985293
560.0,0.0007193093396486189
576.0,0.0006990348621289923
592.0,0.0006793320522937266
608.0,0.0006601847361822556
624.0,0.0006415772117847918
640.0,0.0006234942315402903
656.0,0.0006059209864236156
672.0,0.0005888430912914012
688.0,0.0005722465712397833
704.0,0.0005561178487892194
720.0,0.0005404437317575615
736.0,0.0005252114017166088
752.0,0.0005104084029525929
768.0,0.0004960226318697645
784.0,0.00048204232679014043
800.0,0.0004684560581127834
816.0,0.00045525271880366986
832.0,0.0004424215151929296
848.0,0.0004299519580605228
864.0,0.00041783385399463705
880.0,0.0004060572970095095
896.0,0.00039461266041122264
912.0,0.00038349058890141895
928.0,0.00037268199090997195
944.0,0.00036217803114848716
960.0,0.00035197012337717334
976.0,0.0003420499233781595
992.0,0.0003324093221287655
1008.0,0.00032304043916859035
1024.0,0.0003139356161545898
1040.0,0.00030508741059857066
1056.0,0.0002964885897817627
1072.0,0.000288132124841325
1088.0,0.00028001118502383467
1104.0,0.0002721191321009681
1120.0,0.0002644495149427444
1136.0,0.00025699606424384647
1152.0,0.00024975268739867135
1168.0,0.00024271346352089517
1184.0,0.00023587263860346043
1200.0,0.0002292246208150156
1216.0,0.00022276397592895073
1232.0,0.00021648542288128585
1248.0,0.00021038382945377316
1264.0,0.00020445420807868207
1280.0,0.00019869171176183358
1296.0,0.0001930916301205483
1312.0,0.00018764938553326958
1328.0,0.0001823605293977111
1344.0,0.00017722073849447094
1360.0,0.00017222581145313743
1376.0,0.00016737166531799886
1392.0,0.00016265433221054876
1408.0,0.00015806995608605835
1424.0,0.00015361478958156503
1440.0,0.0001492851909526999
1456.0,0.00014507762109685016
1472.0,0.00014098864066022364
1488.0,0.0001370149072264501
1504.0,0.00013315317258442104
1520.0,0.0001294002800731354
1536.0,0.0001257531620013797
1552.0,0.00012220883714013454
1568.0,0.0001187644082856567
1584.0,0.00011541705989124523
1600.0,0.00011216405576575602
1616.0,0.00010900273683698314
1632.0,0.00010593051897807845
1648.0,0.00010294489089523356
1664.0,0.00010004341207489678
1680.0,9.722371078884732e-05
1696.0,9.448348215549605e-05
1712.0,9.182048625582799e-05
1728.0,8.923254630244679e-05
1744.0,8.671754686022398e-05
1760.0,8.427343211709904e-05
1776.0,8.18982042036165e-05
1792.0,7.95899215598264e-05
1808.0,7.734669734821361e-05
1824.0,7.516669791135806e-05
1840.0,7.304814127306568e-05
1856.0,7.098929568174448e-05
1872.0,6.898847819483537e-05
1888.0,6.704405330314044e-05
1904.0,6.515443159392428e-05
1920.0,6.331806845169537e-05
1936.0,6.153346279560576e-05
1952.0,5.979915585243687e-05
1968.0,5.811372996416839e-05
1984.0,5.647580742915551e-05
2000.0,5.4884049375967465e-05
2016.0,5.3337154668966485e-05
2032.0,5.1833858844733e-05
2048.0,5.037293307846724e-05
2064.0,4.895318317952272e-05
2080.0,4.7573448615250376e-05
2096.0,4.62326015623553e-05
2112.0,4.4929545984990986e-05
2128.0,4.366321673883715e-05
2144.0,4.2432578700428875e-05
2160.0,4.1236625921025584e-05
2176.0,4.007438080432787e-05
2192.0,3.894489330737033e-05
2208.0,3.784724016393685e-05
2224.0,3.678052412986403e-05
2240.0,3.574387324961536e-05
2256.0,3.473644014352689e-05
2272.0,3.375740131514178e-05
2288.0,3.2805956478067385e-05
2304.0,3.1881327901804784e-05
2320.0,3.098275977601596e-05
2336.0,3.0109517592708906e-05
2352.0,2.9260887545835784e-05
2368.0,2.843617594781321e-05
2384.0,2.763470866248783e-05
2400.0,2.6855830554083628e-05
2416.0,2.6098904951680503e-05
2432.0,2.536331312878644e-05
2448.0,2.464845379757776e-05
2464.0,2.39537426173942e-05
2480.0,2.327861171708684e-05
2496.0,2.2622509230828598e-05
2512.0,2.198489884700781e-05
2528.0,2.136525936983615e-05
2544.0,2.076308429331248e-05
2560.0,2.017788138719447e-05
2576.0,1.9609172294639572e-05
2592.0,1.9056492141186275e-05
2608.0,1.851938915475622e-05
2624.0,1.7997424296366458e-05
2640.0,1.7490170901249973e-05
2656.0,1.6997214330091198e-05
2672.0,1.6518151630091292e-05
2688.0,1.6052591205586316e-05
2704.0,1.560015249794888e-05
2720.0,1.5160465674511756e-05
2736.0,1.4733171326259074e-05
2752.0,1.4317920174038e-05
2768.0,1.3914372783050845e-05
2784.0,1.3522199285394085e-05
2800.0,1.3141079110417566e-05
2816.0,1.277070072268353e-05
2832.0,1.2410761367311131e-05
2848.0,1.2060966822498405e-05
2864.0,1.1721031159019343e-05
2880.0,1.1390676506499482e-05
2896.0,1.106963282627898e-05
2912.0,1.0757637690677467e-05
2928.0,1.0454436068480292e-05
2944.0,1.015978011647079e-05
2960.0,9.87342897683815e-06
2976.0,9.59514858029531e-06
2992.0,9.324711454745935e-06
3008.0,9.061896539344046e-06
3024.0,8.806489003794387e-06
3040.0,8.558280072745708e-06
3056.0,8.317066855133539e-06
3072.0,8.082652178332873e-06
3088.0,7.854844426985213e-06
3104.0,7.63345738636827e-06
3120.0,7.418310090180225e-06
3136.0,7.209226672614162e-06
3152.0,7.006036224601769e-06
3168.0,6.808572654108756e-06
3184.0,6.616674550367813e-06
3200.0,6.4301850519381686e-06
3216.0,6.248951718483815e-06
3232.0,6.072826406165661e-06
3248.0,5.901665146545723e-06
3264.0,5.735328028904379e-06
3280.0,5.573679085874469e-06
3296.0,5.416586182298798e-06
3312.0,5.263920907220141e-06
3328.0,5.115558468915504e-06
3344.0,4.971377592888809e-06
3360.0,4.831260422738637e-06
3376.0,4.695092423819989e-06
3392.0,4.562762289621331e-06
3408.0,4.434161850780362e-06
3424.0,4.30918598666416e-06
3440.0,4.187732539441434e-06
3456.0,4.06970223057661e-06
3472.0,3.9549985796775275e-06
3488.0,3.8435278256303875e-06
3504.0,3.7351988499575015e-06
3520.0,3.6299231023351797e-06
3536.0,3.5276145282108804e-06
3552.0,3.42818949846046e-06
3568.0,3.331566741028008e-06
3584.0,3.2376672744924103e-06
3600.0,3.1464143435063157e-06
3616.0,3.0577333560547393e-06
3632.0,2.971551822482026e-06
3648.0,2.887799296237318e-06
3664.0,2.806407316290105e-06
3680.0,2.727309351168768e-06
3696.0,2.650440744576402e-06
3712.0,2.575738662539426e-06
3728.0,2.50314204204581e-06
3744.0,2.432591541130916e-06
3760.0,2.3640294903701625e-06
3776.0,2.297399845738856e-06
3792.0,2.2326481428006528e-06
3808.0,2.16972145218722e-06
3824.0,2.1085683363326797e-06
3840.0,2.04913880742749e-06
3856.0,1.991384286557391e-06
3872.0,1.935257563993997e-06
3888.0,1.8807127606046034e-06
3904.0,1.8277052903496419e-06
3920.0,1.7761918238371372e-06
3936.0,1.7261302529043778e-06
3952.0,1.6774796561978376e-06
3968.0,1.6302002657232254e-06
3984.0,1.584253434338312e-06
4000.0,1.539601604161963e-06
4016.0,1.4962082758735589e-06
