x,y
16.0,0.001318246788108643
32.0,0.010769223370586514
48.0,0.012694654801023377
64.0,0.010217491723393207
80.0,0.0075825265866677595
96.0,0.005516550746057755
112.0,0.003993241619236202
128.0,0.0028868242425681588
144.0,0.0020862747421720104
160.0,0.001507601430474265
176.0,0.0010894133752627649
192.0,0.0007872211701183992
208.0,0.0005688534062619492
224.0,0.00041105872713485787
240.0,0.00029703482702443884
256.0,0.00021464010634042577
272.0,0.00015510092189692366
288.0,0.00011207735803831505
304.0,8.098813372100209e-05
320.0,5.852277322046638e-05
336.0,4.2289096302314994e-05
352.0,3.055849146977638e-05
368.0,2.2081848102626584e-05
384.0,1.595654733536772e-05
400.0,1.153034844203308e-05
416.0,8.331936251667323e-06
432.0,6.020734069825538e-06
448.0,4.350638032344056e-06
464.0,3.1438112145400615e-06
480.0,2.271747012550992e-06
496.0,1.6415853678381514e-06
512.0,1.1862247446621654e-06
528.0,8.571769537041562e-07
544.0,6.194039816382299e-07
560.0,4.475870365055436e-07
576.0,3.2343052545119473e-07
592.0,2.3371388414271086e-07
608.0,1.6888381071908101e-07
624.0,1.2203700104347405e-07
640.0,8.818506380376356e-08
656.0,6.372334137663329e-08
672.0,4.6047074879245523e-08
688.0,3.3274041491370206e-08
704.0,2.404412962327927e-08
720.0,1.7374510081409684e-08
736.0,1.2554981415369513e-08
752.0,9.072345499337651e-09
768.0,6.555760628892156e-09
784.0,4.737253164186723e-09
800.0,3.4231828786874837e-09
816.0,2.473623556690551e-09
832.0,1.7874632226953902e-09
848.0,1.2916374295704065e-09
864.0,9.333491331651046e-10
880.0,6.744467018657006e-10
896.0,4.873614143883883e-10
912.0,3.521718581729334e-10
928.0,2.544826365555043e-10
944.0,1.8389150298443183e-10
960.0,1.3288169805053794e-10
976.0,9.602154199745276e-11
992.0,6.938605287886942e-11
1008.0,5.013900249838708e-11
1024.0,3.623090617248306e-11
1040.0,2.6180787344572694e-11
1056.0,1.8918478680014808e-11
1072.0,1.3670667381222579e-11
1088.0,9.878550480142344e-12
1104.0,7.13833179225471e-12
1120.0,5.158224466104067e-12
1136.0,3.727380628564258e-12
1152.0,2.693439659614028e-12
1168.0,1.9463043683778865e-12
1184.0,1.4064175081277603e-12
1200.0,1.016290277772349e-12
1216.0,7.343807388102948e-13
1232.0,5.306703028958445e-13
1248.0,3.834672609085314e-13
1264.0,2.770969835437595e-13
1280.0,2.0023283893162797e-13
1296.0,1.4469009829653275e-13
1312.0,1.0455440105011394e-13
1328.0,7.555197561995178e-14
1344.0,5.45945552052069e-14
1360.0,3.9450529699547346e-14
1376.0,2.8507317034179854e-14
1392.0,2.0599650516139077e-14
1408.0,1.48854976733968e-14
1424.0,1.0756398066612984e-14
1440.0,7.772672563995861e-15
1456.0,5.616604965059415e-15
1472.0,4.058610609644985e-15
1488.0,2.93278950241226e-15
1504.0,2.1192607748620455e-15
1520.0,1.5313974044760968e-15
1536.0,1.106601904897139e-15
1552.0,7.996407544786917e-16
1568.0,5.778277928074661e-16
1584.0,4.1754369855550585e-16
1600.0,3.017209320381421e-16
1616.0,2.1802633148315468e-16
1632.0,1.5754784031355585e-16
1648.0,1.1384552415579888e-16
1664.0,8.226582696731131e-17
1680.0,5.944604618231614e-17
1696.0,4.295626187668724e-17
1712.0,3.104059147616533e-17
1728.0,2.243021801934535e-17
1744.0,1.6208282654075194e-17
1760.0,1.1712254707815018e-17
1776.0,8.463383398996013e-18
1792.0,6.115718992228445e-18
1808.0,4.419275014332991e-18
1824.0,3.1934089314969523e-18
1840.0,2.3075867807932046e-18
1856.0,1.6674835153026891e-18
1872.0,1.2049389851550682e-18
1888.0,8.707000366855047e-19
1904.0,6.291758862682776e-19
1920.0,4.546483050217871e-19
1936.0,3.2853306328247608e-19
1952.0,2.3740102509476007e-19
1968.0,1.7154817281688523e-19
1984.0,1.239622936971955e-19
2000.0,8.957629805286526e-20
2016.0,6.472866009123616e-20
2032.0,4.6773527465201733e-20
2048.0,3.3798982837807723e-20
2064.0,2.44234570873517e-20
2080.0,1.7648615609534144e-20
2096.0,1.2753052600993035e-20
2112.0,9.21547356699375e-21
2128.0,6.65918629217821e-21
2144.0,4.811989503475969e-21
2160.0,3.477188047548806e-21
2176.0,2.5126481903758054e-21
2192.0,1.8156627833370576e-21
2208.0,1.3120146924755941e-21
2224.0,9.480739314973734e-22
2240.0,6.850869771045693e-22
2256.0,4.95050175524816e-22
2272.0,3.5772782796562146e-22
2288.0,2.584974316297083e-22
2304.0,1.8679263097635615e-22
2320.0,1.349780799255693e-22
2336.0,9.753640689765496e-23
2352.0,7.048070824352254e-23
2368.0,5.093001057257499e-23
2384.0,3.6802495910801055e-23
2400.0,2.6593823367353956e-23
2416.0,1.921694232391608e-23
2432.0,1.3886339966221295e-23
2448.0,1.0034397481512521e-23
2464.0,7.250948274485033e-24
2480.0,5.239602176027457e-24
2496.0,3.7861849131700544e-24
2512.0,2.7359321786497058e-24
2528.0,1.9770098549950887e-24
2544.0,1.4286055762817705e-24
2560.0,1.0323235806978002e-24
2576.0,7.459665515505007e-25
2592.0,5.390423181615225e-25
2608.0,3.895169564439608e-25
2624.0,2.8146854939857053e-25
2640.0,2.0339177278392364e-25
2656.0,1.4697277306676344e-25
2672.0,1.062038829165548e-25
2688.0,7.674390644741796e-26
2704.0,5.545585542703335e-26
2720.0,4.0072913192803644e-26
2736.0,2.895705709329245e-26
2752.0,2.092463683560644e-26
2768.0,1.512033578866129e-26
2784.0,1.0926094257121444e-26
2800.0,7.895296598176388e-27
2816.0,5.705214224428487e-27
2832.0,4.1226404786539915e-27
2848.0,2.9790580769890355e-27
2864.0,2.1526948740801063e-27
2880.0,1.5555571932906036e-27
2896.0,1.124059991378089e-27
2912.0,8.122561289720861e-28
2928.0,5.869437789026348e-28
2944.0,4.241309942819084e-28
2960.0,3.0648097275497458e-28
2976.0,2.214659808577968e-28
2992.0,1.600333627122695e-28
3008.0,1.1564158559161017e-28
3024.0,8.356367754507236e-29
3040.0,6.038388499373398e-29
3056.0,4.3633952861514577e-29
3072.0,3.1530297239378446e-29
3088.0,2.2784083925625985e-29
3104.0,1.646398942543561e-29
3120.0,1.1897030781912739e-29
3136.0,8.596904296300853e-30
3152.0,6.212202425509214e-30
3168.0,4.4889948341181376e-30
3184.0,3.24378911704371e-30
3200.0,2.343991968063445e-30
3216.0,1.6937902397777565e-30
3232.0,1.2239484671684403e-30
3248.0,8.844364639157063e-31
3264.0,6.391019554224971e-31
3280.0,4.618209742467018e-31
3296.0,3.3371610029448094e-31
3312.0,2.411463354981032e-31
3328.0,1.742545686973121e-31
3344.0,1.2591796035036626e-31
3360.0,9.098948083443264e-32
3376.0,6.574983901806432e-32
3392.0,4.7511440786959927e-32
3408.0,3.433220581776042e-32
3424.0,2.480876893627211e-32
3440.0,1.792704550940761e-32
3456.0,1.295424861757222e-32
3472.0,9.360859666352074e-33
3488.0,6.764243630022222e-33
3504.0,4.887904905867146e-33
3520.0,3.532045218294663e-33
3536.0,2.5522884884899334e-33
3552.0,1.8443072287798723e-33
3568.0,1.3327134332460116e-33
3584.0,9.63031032703479e-34
3600.0,6.958951165450814e-34
3616.0,5.02860236883354e-34
3632.0,3.6337145041885297e-34
3648.0,2.6257556532577714e-34
3664.0,1.8973952804128805e-34
3680.0,1.3710753495537273e-34
3696.0,9.907517076488208e-35
3712.0,7.159263322242307e-35
3728.0,5.173349782948005e-35
3744.0,3.738310322177917e-35
3760.0,2.701337557140474e-35
3776.0,1.9520114620570985e-35
3792.0,1.410541506717795e-35
3808.0,1.0192703172331624e-35
3824.0,7.36534142841388e-36
3840.0,5.3222637253254096e-36
3856.0,3.845916911962463e-36
3872.0,2.779095072522837e-36
3888.0,2.008199760659857e-36
3904.0,1.4511436901125184e-36
3920.0,1.0486098298614695e-36
3936.0,7.577351455780658e-37
3952.0,5.4754641287318854e-37
3968.0,3.9566209380663955e-37
3984.0,2.859090823990304e-37
4000.0,2.066005429324852e-37
4016.0,1.4929146000484802e-37
4032.0,1.0787938750801145e-37
4048.0,7.795464153626586e-38
4064.0,5.633074378176664e-38
4080.0,4.070511559636682e-38
4096.0,2.9413892387657385e-38
4112.0,2.1254750237582225e-38
4128.0,1.535887878108816e-38
4144.0,1.1098467626077067e-38
4160.0,8.01985518622303e-39
4176.0,5.795221410284247e-39
4192.0,4.187680502250276e-39
4208.0,3.026056598598013e-39
4224.0,2.18665643976373e-39
4240.0,1.5800981342435787e-39
4256.0,1.14179350191373e-39
4272.0,8.250705274305762e-40
4288.0,5.962035815527031e-40
4304.0,4.308222131788367e-40
4320.0,3.1131610931442154e-40
4336.0,2.2495989518172255e-40
4352.0,1.6255809746440023e-40
4368.0,1.174659822360747e-40
4384.0,8.488200340624431e-41
4400.0,6.13365194340066e-41
