x,y
16.0,3.4741185137437226e-05
32.0,0.002486635643227637
48.0,0.006445590304618826
64.0,0.007640030080047162
80.0,0.007250567614209934
96.0,0.006361228228544037
112.0,0.005408436222707981
128.0,0.004537342032228693
144.0,0.0037843146803617457
160.0,0.003148036466756684
176.0,0.002615671802132543
192.0,0.002172185762697761
208.0,0.001803460341879481
224.0,0.0014971626027654008
240.0,0.001242824599069823
256.0,0.0010316702551774564
272.0,0.000856381946848351
288.0,0.0007108730537829995
304.0,0.0005900864808241839
320.0,0.0004898226329850336
336.0,0.000406594814297431
352.0,0.00033750851328389806
368.0,0.00028016094069373715
384.0,0.00023255753900418063
400.0,0.0001930426408502858
416.0,0.00016024189540070365
432.0,0.00013301447192437285
448.0,0.00011041338260600177
464.0,9.165254630590951e-05
480.0,7.607944836548425e-05
496.0,6.315244579410871e-05
512.0,5.24219285905209e-05
528.0,4.351468201240683e-05
544.0,3.612090591698008e-05
560.0,2.9983439701567055e-05
576.0,2.4888818082252073e-05
592.0,2.065984662519898e-05
608.0,1.714943880283103e-05
624.0,1.4235500223569369e-05
640.0,1.1816682105174937e-05
656.0,9.808856294600808e-06
672.0,8.142189233134302e-06
688.0,6.758713097332106e-06
704.0,5.6103096383653735e-06
720.0,4.6570365963247895e-06
736.0,3.865738481027473e-06
752.0,3.2088934013294924e-06
768.0,2.6636558348766318e-06
784.0,2.211062045168821e-06
800.0,1.8353705097988225e-06
816.0,1.5235144195069336e-06
832.0,1.2646472055933633e-06
848.0,1.0497652888199819e-06
864.0,8.713949287495133e-07
880.0,7.233322819274341e-07
896.0,6.004276279518583e-07
912.0,4.984062586661417e-07
928.0,4.137198008774808e-07
944.0,3.4342280150369644e-07
960.0,2.8507028269496307e-07
976.0,2.366327038273591e-07
992.0,1.9642537268805276e-07
1008.0,1.6304985072473114e-07
1024.0,1.3534531439366394e-07
1040.0,1.1234818092072764e-07
1056.0,9.325859423167034e-08
1072.0,7.741260540928577e-08
1088.0,6.42590800947187e-08
